Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
70.0,4.0,3.0,1.308252427184466,217000,1,0,0,0,0,0,1,0,0,48.749986765,2.299028344
143.0,6.0,4.0,1.0,510000,0,1,0,0,0,1,0,0,0,48.778351142,1.960991753
39.0,2.0,1.0,1.0,109000,1,0,0,0,0,0,0,1,0,48.962720904,1.849559735
126.0,5.0,3.0,1.0,190000,0,1,0,0,1,0,0,0,0,48.518703129,3.153103494
20.0,1.0,1.0,1.308252427184466,145000,1,0,0,0,0,0,1,0,0,48.802292474,2.117410101
83.0,4.0,3.0,1.308252427184466,485000,1,0,1,0,0,0,0,0,0,48.804093282,2.227332801
74.0,4.0,2.0,1.0,360000,1,0,0,0,0,1,0,0,0,48.796455388,2.254300971
347.0,12.0,7.0,3.0,995000,0,1,0,0,0,0,0,1,0,49.020043434,2.247039527
33.0,1.0,1.0,1.308252427184466,106000,1,0,0,0,0,1,0,0,0,48.836665517,2.481752082
130.0,7.0,5.0,1.0,349900,0,1,0,0,0,0,1,0,0,49.140404504,2.30024802
77.0,3.0,2.0,1.0,440000,1,0,0,0,0,1,0,0,0,48.898544399,2.409100445
15.0,1.0,2.55125284738041,1.308252427184466,154000,1,0,0,0,0,0,1,0,0,48.86287791,2.3599986
95.0,5.0,3.0,1.308252427184466,349000,0,1,0,0,0,1,0,0,0,48.404341685,2.7812787720000003
31.0,1.0,1.0,1.308252427184466,245000,1,0,0,1,0,0,0,0,0,48.772115019,1.380661318
136.0,7.0,4.0,1.0,375000,0,1,0,0,0,1,0,0,0,48.535810688,1.941191495
170.0,7.0,3.0,1.0,420000,0,1,0,0,0,0,1,0,0,48.565851545,2.036948095
14.0,1.0,1.0,1.308252427184466,189000,1,0,0,0,0,0,1,0,0,48.885661807,2.266596324
194.0,9.0,6.0,1.0,615000,0,1,0,0,0,1,0,0,0,48.848168369,2.59644265
160.0,7.0,4.0,2.0,380000,0,1,0,0,1,0,0,0,0,48.972460552,3.894220754
30.0,1.0,1.0,1.0,134500,1,0,0,0,0,0,1,0,0,48.998365533,1.69406992
122.0,5.0,3.0,1.0,270000,0,1,0,0,0,1,0,0,0,48.661219416,2.264997188
121.0,5.0,3.0,1.0,455000,0,1,0,0,0,1,0,0,0,48.745502894,2.489056972
28.0,2.0,1.0,1.308252427184466,165300,1,0,0,0,0,1,0,0,0,48.830863087,2.722990758
19.0,1.0,1.0,1.308252427184466,212000,1,0,0,0,0,0,0,1,0,48.86287791,2.3599986
90.0,4.0,3.0,1.0,275000,1,0,0,0,1,0,0,0,0,48.862764338,2.539943497
161.0,7.0,5.0,2.0,529000,0,1,0,0,0,1,0,0,0,48.558579656,2.438037857
125.0,6.0,4.0,1.0,595000,0,1,0,0,0,0,1,0,0,48.939819605,2.17448669
31.0,2.0,1.0,1.308252427184466,393400,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
40.0,2.0,1.0,1.308252427184466,550000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
101.0,4.0,3.0,1.0,230000,1,0,0,0,0,1,0,0,0,48.645608238,2.40818892
169.0,9.0,5.0,1.0,268000,0,1,0,0,1,0,0,0,0,48.86287791,2.3599986
64.0,3.0,2.0,1.0,170000,1,0,0,0,0,0,0,0,1,48.956644571,2.384861241
20.0,1.0,1.0,1.0,195000,1,0,0,0,0,0,0,1,0,48.86287791,2.3599986
44.0,1.0,1.0,1.0,233000,1,0,0,0,0,1,0,0,0,48.829192097,2.119984317
50.0,2.0,1.0,1.308252427184466,420000,1,0,0,0,0,0,1,0,0,48.86287791,2.3599986
120.0,7.0,5.0,1.0,489000,0,1,0,0,0,1,0,0,0,49.020680055,2.10161862
93.0,4.0,3.0,1.0,309000,0,1,0,0,0,0,0,0,1,48.942941014,2.675081572
143.0,6.0,5.0,1.308252427184466,320000,0,1,0,0,0,1,0,0,0,49.011064768,1.888263613
60.0,3.0,2.0,1.0,285000,0,1,0,0,0,0,0,0,1,48.991738548,2.320739048
70.0,3.0,2.0,1.0,160000,1,0,0,0,0,0,1,0,0,48.951531886,2.240388744
52.0,2.0,1.0,1.0,140000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
138.0,5.0,3.0,1.0,220000,0,1,0,0,1,0,0,0,0,48.540826838,3.073142083
93.0,5.0,4.0,1.0,239000,0,1,0,0,1,0,0,0,0,48.603961987,2.46946055
83.0,5.0,4.0,1.308252427184466,385000,0,1,0,0,0,0,1,0,0,47.159545854,2.715653954
71.0,3.0,2.0,1.0,575000,1,0,0,0,1,0,0,0,0,48.86287791,2.3599986
57.0,3.0,2.0,1.0,329000,1,0,0,0,0,0,0,0,1,48.869374523,2.17771477
1.0,3.0,2.0,1.308252427184466,100000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
60.0,2.0,1.0,1.308252427184466,689000,1,0,0,0,0,1,0,0,0,48.885661807,2.266596324
56.0,3.0,2.0,1.0,230000,1,0,0,0,0,0,1,0,0,43.355986306,2.21784948
26.0,1.0,2.55125284738041,1.0,129900,1,0,0,0,0,0,1,0,0,48.902243865,2.484137001
75.0,3.0,2.0,1.0,475000,1,0,0,0,0,1,0,0,0,48.86287791,2.3599986
82.0,3.0,2.0,1.0,168000,1,0,0,0,1,0,0,0,0,48.632105215,2.312175448
85.0,5.0,3.0,1.0,370000,1,0,0,0,0,0,0,0,1,48.846861121,2.13446886
180.0,6.0,5.0,1.308252427184466,525000,0,1,0,0,0,1,0,0,0,48.836247784,2.564607121
90.0,4.0,3.0,1.0,700000,1,0,0,0,0,0,1,0,0,48.836400822,2.239066161
13.0,1.0,1.0,1.308252427184466,149000,1,0,0,0,0,0,1,0,0,48.86287791,2.3599986
16.0,1.0,1.0,1.308252427184466,80000,1,0,0,0,0,0,1,0,0,48.695926703,2.235331474
30.0,1.0,1.0,1.0,270000,1,0,0,0,0,0,0,0,1,48.86287791,2.3599986
67.0,3.0,1.0,1.0,650000,1,0,0,0,0,0,0,0,1,48.819648936,2.470749433
13.0,1.0,1.0,1.308252427184466,149000,1,0,0,0,0,1,0,0,0,48.86287791,2.3599986
101.0,6.0,4.0,1.308252427184466,379000,0,1,0,0,0,1,0,0,0,49.128484415,2.435953796
84.0,5.0,3.0,1.308252427184466,165000,1,0,0,0,1,0,0,0,0,48.989294485,1.91391108
68.0,3.0,2.0,1.0,237900,1,0,0,0,0,0,1,0,0,48.87491844,2.48590027
74.0,4.0,3.0,1.308252427184466,180000,1,0,0,0,0,1,0,0,0,48.689811714,2.30290407
150.0,7.0,5.0,1.0,1320000,0,1,0,0,1,0,0,0,0,48.829192097,2.119984317
38.0,2.0,1.0,1.0,220000,1,0,0,0,0,0,0,0,1,48.922750857,2.247051842
46.0,2.0,1.0,1.308252427184466,259000,1,0,0,1,0,0,0,0,0,48.783876041,2.19738706
72.0,3.0,2.0,1.0,143000,1,0,0,0,0,1,0,0,0,48.645608238,2.40818892
18.0,1.0,2.55125284738041,1.308252427184466,155000,1,0,0,0,0,0,1,0,0,48.884753073,2.405680234
79.0,4.0,2.0,1.0,292000,1,0,0,0,0,1,0,0,0,48.785828066,2.539660672
40.0,2.0,1.0,1.0,249000,1,0,0,0,0,0,0,0,1,48.87491844,2.48590027
120.0,5.0,4.0,1.0,151000,0,1,0,0,0,0,1,0,0,48.478498645,3.117973352
73.0,3.0,2.0,1.0,131000,0,1,0,0,1,0,0,0,0,48.478498645,3.117973352
66.0,4.0,3.0,1.0,350000,1,0,0,0,0,1,0,0,0,48.896391692,2.153571449
106.0,5.0,4.0,1.0,410000,0,1,0,0,0,0,0,1,0,48.499998601,6.452160605
215.0,9.0,5.0,2.0,695000,0,1,0,0,0,1,0,0,0,48.538911417,2.524704829
95.0,4.0,2.0,1.0,1315000,1,0,0,0,0,1,0,0,0,48.86287791,2.3599986
141.0,6.0,4.0,1.0,460000,0,1,0,0,1,0,0,0,0,48.939482289,2.461086127
82.0,4.0,3.0,1.0,310000,0,1,0,1,0,0,0,0,0,47.811582053,2.79297208
110.0,5.0,4.0,1.0,398000,0,1,0,0,0,0,1,0,0,48.558579656,2.438037857
55.0,2.0,1.0,1.308252427184466,216000,1,0,0,0,0,1,0,0,0,48.650022012,2.483650956
31.0,1.0,2.55125284738041,1.0,440000,1,0,0,0,0,0,0,1,0,48.86287791,2.3599986
55.0,2.0,1.0,1.308252427184466,130000,1,0,0,0,1,0,0,0,0,48.741877726,2.449089194
81.0,5.0,3.0,1.0,425000,0,1,0,0,0,0,0,0,1,49.026361092,2.220661508
156.0,7.0,5.0,1.0,599000,0,1,0,0,0,1,0,0,0,48.77621691,2.337698598
62.0,3.0,2.0,1.0,365000,1,0,0,0,0,0,1,0,0,48.798824614,2.494496787
